timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_count,byte_count,duration,flag,failed_connections
2026-08-23T18:00:46.919418,172.16.10.57,185.199.108.153,TCP,26937,3306,13,2020,0.4332,SF,1
2026-08-23T18:01:11.159844,172.16.10.35,52.84.12.33,UDP,43669,123,2,67,0.0063,SF,0
2026-08-23T18:01:43.557082,192.168.1.136,172.16.10.153,TCP,37270,443,10,40876,3.4131,SF,0
2026-08-23T18:02:08.445860,192.168.1.197,10.0.0.248,TCP,23090,22,250,42069,28.5807,SF,0
2026-08-23T18:02:38.410297,10.0.0.209,10.0.0.46,TCP,2257,443,80,11932,3.7847,SF,0
2026-08-23T18:03:08.226289,192.168.1.95,8.8.8.8,TCP,14719,80,25,10671,1.5374,SF,0
2026-08-23T18:03:39.267430,192.168.1.218,52.84.12.33,UDP,52994,53,2,95,0.0376,SF,0
2026-08-23T18:04:07.208895,192.168.1.57,10.0.0.33,TCP,8084,3306,2,7733,0.1236,SF,1
2026-08-23T18:04:34.653570,172.16.10.236,52.84.12.33,TCP,21268,80,60,4812,2.2127,SF,0
2026-08-23T18:05:04.764795,10.0.0.212,104.244.42.1,TCP,11976,3306,5,1516,0.049,SF,0
2026-08-23T18:05:34.036195,10.0.0.12,10.0.0.216,TCP,19588,80,39,9080,0.8297,SF,0
2026-08-23T18:06:01.163948,192.168.1.105,10.0.0.217,TCP,31411,22,232,58116,6.646,SF,0
2026-08-23T18:06:30.341470,192.168.1.42,172.16.10.152,TCP,27726,443,95,14336,2.178,SF,0
2026-08-23T18:06:57.048155,192.168.1.78,185.199.108.153,UDP,38576,123,2,64,0.0048,SF,0
2026-08-23T18:07:27.204851,192.168.1.16,52.84.12.33,TCP,44304,3306,8,3728,0.7344,SF,0
2026-08-23T18:07:56.723628,192.168.1.205,151.101.1.69,UDP,50258,123,2,95,0.0033,SF,0
2026-08-23T18:08:25.865038,10.0.0.57,192.168.1.143,TCP,41838,80,57,11170,2.4303,SF,0
2026-08-23T18:08:53.301283,10.0.0.58,192.168.1.175,TCP,45856,443,101,21908,1.2149,SF,0
2026-08-23T18:09:20.904328,172.16.10.179,10.0.0.126,TCP,57917,3306,11,7005,0.5017,SF,0
2026-08-23T18:09:49.964057,198.51.100.44,172.16.10.90,TCP,44412,226,2,152,0.0134,S0,1
2026-08-23T18:10:18.692844,10.0.0.233,1.1.1.1,TCP,4447,80,23,629,1.7869,SF,0
2026-08-23T18:10:47.939047,10.0.0.183,10.0.0.36,TCP,8005,80,48,3538,2.1304,SF,0
2026-08-23T18:11:18.400465,10.0.0.125,151.101.1.69,TCP,52405,80,9,7299,1.4612,SF,0
2026-08-23T18:11:46.213012,172.16.10.119,185.199.108.153,TCP,56632,22,49,8720,54.1493,SF,0
2026-08-23T18:12:17.708362,10.0.0.160,172.16.10.164,TCP,24071,443,14,13158,3.3843,SF,0
2026-08-23T18:12:43.516349,172.16.10.59,10.0.0.40,TCP,39765,80,51,13218,1.127,SF,0
2026-08-23T18:13:11.103415,192.168.1.49,10.0.0.243,TCP,6798,80,19,8012,0.5757,SF,0
2026-08-23T18:13:41.671068,10.0.0.114,185.199.108.153,TCP,16136,80,8,9598,2.0316,SF,0
2026-08-23T18:14:10.981039,10.0.0.124,151.101.1.69,TCP,63056,443,37,43680,1.4298,SF,0
2026-08-23T18:14:39.592026,192.168.1.93,151.101.1.69,TCP,60518,3306,6,2113,0.6717,SF,0
2026-08-23T18:15:09.084602,203.0.113.88,192.168.1.28,TCP,42388,818,3,129,0.0046,REJ,1
2026-08-23T18:15:35.176099,10.0.0.93,104.244.42.1,TCP,36897,3306,16,5743,0.6155,SF,0
2026-08-23T18:16:03.908772,172.16.10.78,192.168.1.134,UDP,52754,123,2,87,0.0063,SF,0
2026-08-23T18:16:35.367267,192.168.1.83,185.199.108.153,TCP,10437,22,127,1977,23.9059,SF,0
2026-08-23T18:17:05.854583,172.16.10.63,185.199.108.153,TCP,64986,80,26,9104,2.036,SF,0
